CÓDIGO DEPARTAMENTO,DEPARTAMENTO,PROVINCIA,CÓDIGO MUNICIPIO,MUNICIPIO,CODIGO DANE INSTITUCION EDUCATIVA,NOMBRE INSTITUCION EDUCATIVA,CODIGO DANE SEDE,NOMBRE SEDE EDUCATIVA,ZONA,PROYECTOS DE CONECTIVIDAD 2024,OPERADOR,ESTADO,MEDIO DE ENLACE,ANCHO DE BANDA DE SUBIDA (MB),ANCHO DE BANDA DESCARGA (MB),FINALIZACIÓN DEL CONTRATO,LATITUD,LONGITUD
15,BOYACÁ,NORTE,15097,BOAVITA,115097000265,I.E. TECNICO INDUSTRIAL MARISCAL SUCRE,215097000227,ESC RIO DE ARRIBA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,6.353359714,-72.59594713
15,BOYACÁ,NORTE,15097,BOAVITA,115097000028,I.E. TECNICO AGRICOLA,215097000219,ESC RURAL CHULAVITA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,6.412089417,-72.61656296
15,BOYACÁ,NORTE,15097,BOAVITA,115097000036,I.E. TECNICA Y ACADEMICA NUESTRA SEÑORA DEL ROSARIO,215097000235,ESC RURAL EL MELONAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,6.312631564,-72.60748278
15,BOYACÁ,NORTE,15097,BOAVITA,115097000028,I.E. TECNICO AGRICOLA,215097000286,ESC SAN FRANCISCO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.75,15,12/01/2032 12:00:00 AM,6.398617062,-72.63102039
15,BOYACÁ,MÁRQUEZ,15104,BOYACÁ,215104000092,I.E. TECNICA AGROPECUARIA SAN ISIDRO,215104000084,ESC HUERTAS N· 2,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.429376466,-73.41392399
15,BOYACÁ,MÁRQUEZ,15104,BOYACÁ,115104000128,I.E. DE BOYACA,215104000076,ESC PACHAQUIRA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.434503002,-73.36231744
15,BOYACÁ,MÁRQUEZ,15104,BOYACÁ,115104000128,I.E. DE BOYACA,215104000068,ESC RIQUE,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.447218842,-73.3884582
15,BOYACÁ,MÁRQUEZ,15104,BOYACÁ,115104000128,I.E. DE BOYACA,215104000106,ESC RUPAGUATA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.437739069,-73.34608
15,BOYACÁ,OCCIDENTE,15106,BRICEÑO,315106000124,I.E. TECNICA MANUEL BRICEÑO,215106000146,COL BAS MEDIA LUNA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.714868143,-73.90014783
15,BOYACÁ,OCCIDENTE,15106,BRICEÑO,315106000124,I.E. TECNICA MANUEL BRICEÑO,215106000081,ESC PALO BLANCO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.667707226,-73.91139673
